level,unit_id,unit_name,zone,terminal,ym,vessel_calls,cargo_mt,teu,avg_turnaround_hr,avg_waiting_hr,calls_waited_gt24h,berthed_lt6h_pct,avg_output_mt_per_berthday,occupancy_pct,pilotage_moves,tug_jobs,water_supplied_mt,garbage_calls,inspections_done,findings_raised,findings_closed,detentions,incidents_total,incidents_high_critical,injuries,spills,near_miss,security_events,equipment_failures,avg_close_days,invoices_issued,billed_cr,collected_cr,outstanding_cr,collection_pct
port,INMUN,Mundra Port,,,2026-07,28,2564886,47797,75.2,16.5,7,14.3,37444,9.2,56,112,1592,16,0,0,0,0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,3.1,22.0,27.14,19.82,18.62,97.2
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2026-07,18,1183330,0,89.1,16.9,4,16.7,21863,24.9,36,72,850,9,0,0,0,0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,3.2,16.0,16.55,11.11,12.86,95.7
zone,CONTAINER,Container,Container,,2026-07,4,573564,47797,44.2,19.5,2,0.0,139046,2.2,8,16,275,2,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8,1.0,0.83,4.27,0.0,100.0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2026-07,6,807992,0,54.3,13.3,1,16.7,78828,6.6,12,24,467,5,0,0,0,0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.8,5.0,9.76,4.45,5.69,97.6
terminal,CT3,CT-3 (AICT),Container,CT3,2026-07,3,500784,41732,45.3,22.3,2,0.0,174186,4.6,6,12,275,1,0,0,0,0,,,,,,,,,0.0,0.0,0.96,0.0,100.0
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2026-07,1,72780,6065,41.0,11.0,0,0.0,58224,1.0,2,4,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8,1.0,0.83,3.31,0.0,100.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2026-07,3,123327,0,53.7,13.3,1,33.3,24462,5.4,6,12,207,3,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,2.0,1.14,1.53,0.0,100.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2026-07,11,324316,0,92.0,16.2,2,27.3,9333,28.0,22,44,713,4,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,10.0,5.3,5.4,3.62,96.1
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2026-07,1,3707,0,36.0,18.0,0,0.0,4943,2.4,2,4,137,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,1.0,0.57,0.83,0.57,98.7
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2026-07,3,684665,0,55.0,13.3,0,0.0,131456,8.4,6,12,260,2,0,0,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.9,3.0,8.62,2.91,5.69,97.1
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2026-07,6,855307,0,92.7,18.2,2,0.0,45923,30.0,12,24,0,4,0,0,0,0,,,,,,,,,5.0,10.68,4.88,8.74,94.6
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2026-07,3,500784,41732,45.3,22.3,2,0.0,174186,9.3,6,12,275,1,0,0,0,0,,,,,,,,,,,,,
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2026-07,1,72780,6065,41.0,11.0,0,0.0,58224,4.0,2,4,0,1,0,0,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.8,1.0,0.83,0.83,0.0,100.1
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2026-07,2,81208,0,61.0,18.5,1,0.0,22929,11.4,4,8,207,2,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1.0,0.56,0.96,0.0,100.1
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2026-07,1,42119,0,39.0,3.0,0,100.0,28079,4.8,2,4,0,1,0,0,0,0,,,,,,,,,1.0,0.57,0.57,0.0,100.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2026-07,5,140285,0,89.4,17.6,1,20.0,9378,48.3,10,20,220,2,0,0,0,0,,,,,,,,,5.0,2.42,2.24,1.53,94.4
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2026-07,3,78877,0,95.7,17.7,1,33.3,8090,31.5,6,12,304,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,3.0,1.38,1.99,0.58,98.1
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2026-07,3,105154,0,92.7,12.3,0,33.3,10472,32.4,6,12,189,2,0,0,0,0,,,,,,,,,2.0,1.5,1.17,1.51,95.8
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2026-07,1,3707,0,36.0,18.0,0,0.0,4943,2.4,2,4,137,1,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9,1.0,0.57,0.83,0.57,98.7
