imo,vessel,type,agent,calls,incidents,inspections,findings,detentions,watch_score
9700007,MV Gulf Pearl,CONT,KSA,37,4,3,9,2,100.3
9700015,MT Kandla Jyoti,TANK,OAP,42,6,6,14,1,63.7
9700016,MT Gujarat Star,TANK,WCM,40,3,6,14,1,61.0
9700021,MV Porbandar Breeze,GEN,OAP,32,6,5,8,1,56.7
9700002,MV Saurashtra Glory,CONT,BMS,41,3,7,8,1,46.6
9700022,MV Dwarka Wave,RORO,WCM,36,5,1,3,0,41.6
9700009,MV Gulf of Kutch,BULK,OAP,35,4,7,4,1,41.4
9700006,MV Indus Fortune,CONT,TMA,39,3,3,7,0,31.1
9700004,MV Arabian Crest,CONT,WCM,35,3,3,6,0,27.4
9700011,MV Coromandel Trader,BULK,SSL,42,5,4,5,0,19.8
9700001,MV Kutch Emerald,CONT,KSA,37,3,4,5,0,18.2
9700017,MT Bhuj Radiance,TANK,SSL,43,2,4,5,0,16.9
9700005,MV Malabar Horizon,CONT,SSL,43,2,4,4,0,13.9
9700018,MT Sagar Ratna,TANK,TMA,28,1,2,2,0,13.4
9700010,MV Konkan Breeze,BULK,WCM,43,0,1,1,0,12.0
9700023,MV Somnath Carrier,RORO,SSL,37,3,4,2,0,9.2
9700008,MV Kandla Spirit,CONT,BMS,43,1,3,2,0,8.9
9700003,MV Mundra Express,CONT,OAP,38,5,2,0,0,5.3
9700014,MV Deccan Voyager,BULK,BMS,31,2,2,0,0,2.6
9700020,MV Coastal Karavan,GEN,BMS,33,1,3,0,0,1.2
9700012,MV Vindhya Pride,BULK,TMA,36,1,2,0,0,1.1
9700013,MV Narmada Spirit,BULK,KSA,32,0,0,0,0,0.0
9700019,MT Bangus,TANK,KSA,42,0,1,0,0,0.0
