level,unit_id,unit_name,zone,terminal,ym,incidents_total,incidents_high_critical,injuries,spills,near_miss,security_events,equipment_failures,avg_close_days
port,REFPT,Reference Port,,,2023-01,3,3,0,0,0,0,3,3.1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-01,1,1,0,0,0,0,1,3.9
zone,CONTAINER,Container,Container,,2023-01,2,2,0,0,0,0,2,2.6
terminal,CT4,Container Terminal 4,Container,CT4,2023-01,1,1,0,0,0,0,1,1.9
terminal,CT5,Container Terminal 5,Container,CT5,2023-01,1,1,0,0,0,0,1,3.4
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-01,1,1,0,0,0,0,1,3.9
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-01,1,1,0,0,0,0,1,1.9
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-01,1,1,0,0,0,0,1,3.4
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-01,1,1,0,0,0,0,1,3.9
port,REFPT,Reference Port,,,2023-02,9,2,1,1,2,0,0,3.3
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-02,3,0,0,0,2,0,0,4.6
zone,CONTAINER,Container,Container,,2023-02,5,1,1,1,0,0,0,3.3
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-02,1,1,0,0,0,0,0,2.4
terminal,CT2,Container Terminal 2,Container,CT2,2023-02,1,0,0,0,0,0,0,1.5
terminal,CT4,Container Terminal 4,Container,CT4,2023-02,2,0,1,1,0,0,0,5.1
terminal,CT5,Container Terminal 5,Container,CT5,2023-02,2,1,0,0,0,0,0,2.3
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-02,1,1,0,0,0,0,0,2.4
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-02,1,0,0,0,1,0,0,
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-02,2,0,0,0,1,0,0,4.6
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-02,1,0,0,0,0,0,0,1.5
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-02,1,0,0,1,0,0,0,5.9
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-02,1,0,1,0,0,0,0,4.2
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-02,2,1,0,0,0,0,0,2.3
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-02,1,1,0,0,0,0,0,2.4
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-02,1,0,0,0,1,0,0,
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-02,2,0,0,0,1,0,0,4.6
port,REFPT,Reference Port,,,2023-03,5,2,1,1,0,0,1,3.5
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-03,3,2,1,0,0,0,1,3.7
zone,CONTAINER,Container,Container,,2023-03,2,0,0,1,0,0,0,3.2
terminal,CT2,Container Terminal 2,Container,CT2,2023-03,1,0,0,1,0,0,0,2.8
terminal,CT4,Container Terminal 4,Container,CT4,2023-03,1,0,0,0,0,0,0,3.5
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-03,3,2,1,0,0,0,1,3.7
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-03,1,0,0,1,0,0,0,2.8
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-03,1,0,0,0,0,0,0,3.5
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-03,2,2,1,0,0,0,0,3.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-03,1,0,0,0,0,0,1,5.2
port,REFPT,Reference Port,,,2023-04,14,5,2,0,0,0,5,3.1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-04,5,1,2,0,0,0,1,2.6
zone,CONTAINER,Container,Container,,2023-04,5,1,0,0,0,0,1,2.9
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-04,4,3,0,0,0,0,3,4.1
terminal,CT1,Container Terminal 1,Container,CT1,2023-04,1,0,0,0,0,0,0,3.4
terminal,CT3,Container Terminal 3,Container,CT3,2023-04,1,0,0,0,0,0,0,2.5
terminal,CT4,Container Terminal 4,Container,CT4,2023-04,1,0,0,0,0,0,0,2.4
terminal,CT5,Container Terminal 5,Container,CT5,2023-04,2,1,0,0,0,0,1,3.0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-04,1,1,0,0,0,0,1,4.6
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-04,1,0,0,0,0,0,1,3.8
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-04,3,2,0,0,0,0,2,4.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-04,4,1,2,0,0,0,0,2.3
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-04,1,0,0,0,0,0,0,3.4
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-04,1,0,0,0,0,0,0,2.5
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-04,1,0,0,0,0,0,0,2.4
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-04,2,1,0,0,0,0,1,3.0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-04,1,1,0,0,0,0,1,4.6
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-04,1,0,0,0,0,0,1,3.8
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-04,1,0,0,0,0,0,1,4.6
berth,SPM-2,SPM-2 — Single Point Mooring 2 (crude),Liquid & Offshore,SPM,2023-04,2,2,0,0,0,0,1,3.6
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-04,3,1,1,0,0,0,0,2.7
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-04,1,0,1,0,0,0,0,1.2
port,REFPT,Reference Port,,,2023-05,7,1,1,1,1,0,1,4.2
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-05,3,1,0,1,1,0,0,3.5
zone,CONTAINER,Container,Container,,2023-05,2,0,0,0,0,0,1,3.5
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-05,2,0,1,0,0,0,0,5.5
terminal,CT1,Container Terminal 1,Container,CT1,2023-05,1,0,0,0,0,0,1,3.5
terminal,CT5,Container Terminal 5,Container,CT5,2023-05,1,0,0,0,0,0,0,
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-05,1,0,0,1,0,0,0,4.2
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-05,1,0,0,0,1,0,0,4.5
