level,unit_id,unit_name,zone,terminal,ym,pilotage_moves,tug_jobs,water_supplied_mt,garbage_calls,inspections_done,findings_raised,findings_closed,detentions
port,REFPT,Reference Port,,,2023-01,48,96,963,13,3,4,4,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-01,10,20,299,2,1,0,0,0
zone,CONTAINER,Container,Container,,2023-01,32,64,569,10,2,4,4,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-01,6,12,95,1,0,0,0,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-01,6,12,154,2,0,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-01,8,16,132,4,1,3,3,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-01,4,8,0,1,0,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-01,10,20,132,3,1,1,1,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-01,4,8,151,0,0,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-01,4,8,0,0,0,0,0,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-01,6,12,201,1,1,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-01,2,4,95,1,0,0,0,0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-01,4,8,98,1,0,0,0,0
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-01,4,8,154,1,0,0,0,0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-01,2,4,0,1,0,0,0,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-01,2,4,0,1,1,3,3,0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-01,6,12,132,3,0,0,0,0
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-01,4,8,0,1,0,0,0,0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-01,2,4,0,1,1,1,1,0
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-01,2,4,132,0,0,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-01,4,8,0,1,0,0,0,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-01,2,4,0,1,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-01,2,4,151,0,0,0,0,0
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-01,2,4,0,0,0,0,0,0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-01,2,4,0,0,0,0,0,0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-01,2,4,0,0,0,0,0,0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-01,6,12,201,1,1,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-01,2,4,95,1,0,0,0,0
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-01,4,8,98,1,0,0,0,0
port,REFPT,Reference Port,,,2023-02,46,92,509,10,2,4,1,1
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-02,8,16,155,1,1,3,0,1
zone,CONTAINER,Container,Container,,2023-02,30,60,260,7,1,1,1,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-02,8,16,94,2,0,0,0,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-02,6,12,0,1,0,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-02,8,16,0,2,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-02,2,4,0,1,0,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-02,8,16,0,2,0,0,0,0
terminal,CT5,Container Terminal 5,Container,CT5,2023-02,6,12,260,1,1,1,1,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-02,6,12,94,1,0,0,0,0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-02,6,12,44,1,1,3,0,1
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-02,2,4,111,0,0,0,0,0
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-02,2,4,0,1,0,0,0,0
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-02,6,12,0,1,0,0,0,0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-02,6,12,0,2,0,0,0,0
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-02,2,4,0,0,0,0,0,0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-02,2,4,0,1,0,0,0,0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-02,2,4,0,1,0,0,0,0
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-02,2,4,0,0,0,0,0,0
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-02,4,8,0,1,0,0,0,0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-02,6,12,260,1,1,1,1,0
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-02,2,4,0,0,0,0,0,0
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-02,4,8,94,1,0,0,0,0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-02,2,4,0,0,1,3,0,1
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-02,4,8,44,1,0,0,0,0
berth,RR-1,RR-1 — Ro-Ro Berth 1,Dry Bulk & General,RRT,2023-02,2,4,111,0,0,0,0,0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-02,2,4,0,1,0,0,0,0
port,REFPT,Reference Port,,,2023-03,38,76,1020,10,2,0,0,0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-03,8,16,63,3,2,0,0,0
zone,CONTAINER,Container,Container,,2023-03,24,48,799,5,0,0,0,0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-03,6,12,158,2,0,0,0,0
terminal,CT1,Container Terminal 1,Container,CT1,2023-03,2,4,134,1,0,0,0,0
terminal,CT2,Container Terminal 2,Container,CT2,2023-03,4,8,201,0,0,0,0,0
terminal,CT3,Container Terminal 3,Container,CT3,2023-03,2,4,93,0,0,0,0,0
terminal,CT4,Container Terminal 4,Container,CT4,2023-03,16,32,371,4,0,0,0,0
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-03,4,8,70,1,0,0,0,0
