level,unit_id,unit_name,zone,terminal,ym,vessel_calls,cargo_mt,teu,avg_turnaround_hr,avg_waiting_hr,calls_waited_gt24h,berthed_lt6h_pct,avg_output_mt_per_berthday,occupancy_pct
port,REFPT,Reference Port,,,2023-01,24,2012215,116265,50.5,13.8,4,20.8,54816,4.9
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-01,5,358286,0,91.8,12.8,1,40.0,21769,7.6
zone,CONTAINER,Container,Container,,2023-01,16,1395180,116265,36.1,13.5,2,18.8,92498,4.1
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-01,3,258749,0,58.0,16.7,1,0.0,50080,3.3
terminal,CT1,Container Terminal 1,Container,CT1,2023-01,3,320916,26743,35.3,12.3,0,33.3,111623,4.6
terminal,CT2,Container Terminal 2,Container,CT2,2023-01,4,280452,23371,32.0,11.0,0,25.0,80129,5.6
terminal,CT3,Container Terminal 3,Container,CT3,2023-01,2,224040,18670,37.5,11.5,0,0.0,103403,3.5
terminal,CT4,Container Terminal 4,Container,CT4,2023-01,5,372024,31002,39.6,16.8,2,20.0,78321,3.8
terminal,CT5,Container Terminal 5,Container,CT5,2023-01,2,197748,16479,35.5,14.0,0,0.0,110371,2.9
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-01,2,55289,0,51.0,10.5,0,0.0,16382,3.6
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-01,3,92118,0,86.3,15.0,1,33.3,10331,7.2
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-01,1,203460,0,72.0,29.0,1,0.0,113559,2.9
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-01,2,266168,0,100.0,9.5,0,50.0,35293,12.2
berth,CT1-1,CT1-1 — CT1 Berth 1,Container,CT1,2023-01,2,281532,23461,27.0,7.5,0,50.0,173250,5.2
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-01,1,39384,3282,52.0,22.0,0,0.0,31507,4.0
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-01,1,52992,4416,47.0,21.0,0,0.0,48916,3.5
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-01,3,227460,18955,27.0,7.7,0,33.3,94121,7.8
berth,CT3-2,CT3-2 — CT3 Berth 2,Container,CT3,2023-01,2,224040,18670,37.5,11.5,0,0.0,103403,7.0
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-01,1,54756,4563,53.0,28.0,1,0.0,52566,3.4
berth,CT4-2,CT4-2 — CT4 Berth 2,Container,CT4,2023-01,1,70668,5889,37.0,16.0,0,0.0,80763,2.8
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-01,2,153840,12820,36.5,17.0,1,0.0,94671,5.2
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-01,1,92760,7730,35.0,6.0,0,100.0,76767,3.9
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-01,1,56988,4749,38.0,9.0,0,0.0,47162,3.9
berth,CT5-2,CT5-2 — CT5 Berth 2,Container,CT5,2023-01,1,140760,11730,33.0,19.0,0,0.0,241303,1.9
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-01,1,25872,0,47.0,13.0,0,0.0,18263,4.6
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-01,1,29417,0,55.0,8.0,0,0.0,15021,6.3
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-01,3,92118,0,86.3,15.0,1,33.3,10331,28.8
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-01,1,203460,0,72.0,29.0,1,0.0,113559,5.8
berth,WB-2,WB-2 — West Basin Coal Berth 2,Dry Bulk & General,WBC,2023-01,2,266168,0,100.0,9.5,0,50.0,35293,24.3
port,REFPT,Reference Port,,,2023-02,23,1896463,122943,49.6,14.7,3,8.7,56611,5.0
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-02,4,108005,0,85.8,15.8,0,0.0,9258,6.0
zone,CONTAINER,Container,Container,,2023-02,15,1475316,122943,39.7,15.7,3,6.7,98628,4.5
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-02,4,313142,0,50.8,9.5,0,25.0,45548,4.9
terminal,CT1,Container Terminal 1,Container,CT1,2023-02,3,401556,33463,50.3,25.3,2,0.0,128498,5.6
terminal,CT2,Container Terminal 2,Container,CT2,2023-02,4,409968,34164,40.8,17.8,1,0.0,106948,6.8
terminal,CT3,Container Terminal 3,Container,CT3,2023-02,1,74904,6242,39.0,11.0,0,0.0,64203,2.1
terminal,CT4,Container Terminal 4,Container,CT4,2023-02,4,262656,21888,33.5,7.5,0,25.0,60613,3.9
terminal,CT5,Container Terminal 5,Container,CT5,2023-02,3,326232,27186,36.0,16.0,0,0.0,130493,4.5
terminal,LQB,Liquid Terminal,Liquid & Offshore,LQB,2023-02,3,119979,0,47.7,9.0,0,33.3,24823,5.8
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-02,3,103752,0,99.7,14.7,0,0.0,9765,9.5
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-02,1,4253,0,44.0,19.0,0,0.0,4083,3.7
terminal,SPM,SPM Crude,Liquid & Offshore,SPM,2023-02,1,193163,0,60.0,11.0,0,0.0,94610,3.6
berth,CT1-2,CT1-2 — CT1 Berth 2,Container,CT1,2023-02,3,401556,33463,50.3,25.3,2,0.0,128498,11.2
berth,CT2-1,CT2-1 — CT2 Berth 1,Container,CT2,2023-02,3,356196,29683,43.0,19.0,1,0.0,118732,10.7
berth,CT2-2,CT2-2 — CT2 Berth 2,Container,CT2,2023-02,1,53772,4481,34.0,14.0,0,0.0,64526,3.0
berth,CT3-1,CT3-1 — CT3 Berth 1,Container,CT3,2023-02,1,74904,6242,39.0,11.0,0,0.0,64203,4.2
berth,CT4-1,CT4-1 — CT4 Berth 1,Container,CT4,2023-02,1,83880,6990,36.0,7.0,0,0.0,69418,4.3
berth,CT4-3,CT4-3 — CT4 Berth 3,Container,CT4,2023-02,1,48864,4072,35.0,7.0,0,0.0,41883,4.2
berth,CT4-4,CT4-4 — CT4 Berth 4,Container,CT4,2023-02,2,129912,10826,31.5,8.0,0,50.0,66338,7.0
berth,CT5-1,CT5-1 — CT5 Berth 1,Container,CT5,2023-02,3,326232,27186,36.0,16.0,0,0.0,130493,8.9
berth,LB-2,LB-2 — Liquid Berth 2,Liquid & Offshore,LQB,2023-02,1,43357,0,40.0,7.0,0,0.0,31532,4.9
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-02,2,76622,0,51.5,10.0,0,50.0,22156,12.4
