level,unit_id,unit_name,zone,terminal,ym,invoices_issued,billed_cr,collected_cr,outstanding_cr,collection_pct
port,INMUN,Mundra Port,,,2023-01,11,10.12,0.48,9.64,4.7
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-01,5,3.25,0.0,3.25,0.0
zone,CONTAINER,Container,Container,,2023-01,2,2.56,0.0,2.56,0.0
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-01,4,4.31,0.48,3.83,11.1
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-01,1,1.06,0.0,1.06,0.0
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-01,1,1.5,0.0,1.5,0.0
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-01,3,1.83,0.48,1.35,26.2
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-01,4,2.32,0.0,2.32,0.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-01,1,2.49,0.0,2.49,0.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-01,1,0.93,0.0,0.93,0.0
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2023-01,1,1.06,0.0,1.06,0.0
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-01,1,1.5,0.0,1.5,0.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-01,2,1.12,0.48,0.64,42.9
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-01,1,0.7,0.0,0.7,0.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-01,2,0.94,0.0,0.94,0.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-01,1,0.77,0.0,0.77,0.0
berth,MP-3,MP-3 — Multipurpose Berth 3,Dry Bulk & General,MPT,2023-01,1,0.6,0.0,0.6,0.0
berth,SPM-1,SPM-1 — Single Point Mooring 1 (crude),Liquid & Offshore,SPM,2023-01,1,2.49,0.0,2.49,0.0
berth,WB-1,WB-1 — West Basin Coal Berth 1,Dry Bulk & General,WBC,2023-01,1,0.93,0.0,0.93,0.0
port,INMUN,Mundra Port,,,2023-02,14,13.74,10.93,12.45,47.8
zone,BULKGEN,Dry Bulk & General,Dry Bulk & General,,2023-02,7,7.35,3.9,6.7,36.8
zone,CONTAINER,Container,Container,,2023-02,6,5.95,3.19,5.32,37.5
zone,LIQMAR,Liquid & Offshore,Liquid & Offshore,,2023-02,1,0.43,3.84,0.42,91.1
terminal,AMC2,AMCT-2,Container,AMC2,2023-02,2,2.94,0.0,2.94,0.0
terminal,AMCT,Adani Mundra Container Terminal,Container,AMCT,2023-02,1,0.69,1.06,0.69,60.6
terminal,CT3,CT-3 (AICT),Container,CT3,2023-02,1,0.63,0.63,0.0,100.0
terminal,CT4,CT-4 (ACMT JV),Container,CT4,2023-02,1,0.97,1.5,0.97,60.7
terminal,LQB,Liquid Berths,Liquid & Offshore,LQB,2023-02,1,0.43,1.35,0.43,81.0
terminal,MICT,MICT (DP World JV),Container,MICT,2023-02,1,0.73,0.0,0.73,0.0
terminal,MPT,Multipurpose Terminal,Dry Bulk & General,MPT,2023-02,2,1.18,2.97,0.53,84.9
terminal,RRT,Ro-Ro Terminal,Dry Bulk & General,RRT,2023-02,2,1.11,0.0,1.11,0.0
terminal,SPM,Single Point Moorings,Liquid & Offshore,SPM,2023-02,0,0.0,2.49,0.0,100.0
terminal,WBC,West Basin Coal Terminal,Dry Bulk & General,WBC,2023-02,3,5.06,0.93,5.06,15.5
berth,AMC2-1,AMC2-1 — AMCT-2 Berth 1,Container,AMC2,2023-02,1,1.84,0.0,1.84,0.0
berth,AMC2-2,AMC2-2 — AMCT-2 Berth 2,Container,AMC2,2023-02,1,1.1,0.0,1.1,0.0
berth,AMCT-1,AMCT-1 — AMCT Berth 1,Container,AMCT,2023-02,1,0.69,0.0,0.69,0.0
berth,AMCT-2,AMCT-2 — AMCT Berth 2,Container,AMCT,2023-02,0,0.0,1.06,0.0,100.0
berth,CT3-1,CT3-1 — CT-3 Berth 1,Container,CT3,2023-02,1,0.63,0.63,0.0,100.0
berth,CT4-1,CT4-1 — CT-4 Berth 1,Container,CT4,2023-02,0,0.0,1.5,0.0,100.0
berth,CT4-2,CT4-2 — CT-4 Berth 2,Container,CT4,2023-02,1,0.97,0.0,0.97,0.0
berth,LB-1,LB-1 — Liquid Berth 1,Liquid & Offshore,LQB,2023-02,1,0.43,0.65,0.42,72.9
berth,LB-3,LB-3 — Liquid Berth 3,Liquid & Offshore,LQB,2023-02,0,0.0,0.7,0.0,100.0
berth,MICT-1,MICT-1 — MICT Berth 1,Container,MICT,2023-02,1,0.73,0.0,0.73,0.0
berth,MP-1,MP-1 — Multipurpose Berth 1,Dry Bulk & General,MPT,2023-02,2,1.18,1.59,0.53,75.0
berth,MP-2,MP-2 — Multipurpose Berth 2,Dry Bulk & General,MPT,2023-02,0,0.0,0.77,0.0,100.0
